"state","year","income"
"Idaho",2015,"51,624"
"Illinois",2015,"60,413"
"Indiana",2015,"51,983"
"Iowa",2015,"60,855"
"Kansas",2015,"54,865"
"Kentucky",2015,"42,387"
"Louisiana",2015,"45,922"
"Maine",2015,"50,756"
"Maryland",2015,"73,594"
"Massachusetts",2015,"67,861"
"Michigan",2015,"54,203"
"Minnesota",2015,"68,730"
"Mississippi",2015,"40,037"
"Missouri",2015,"59,196"
"Montana",2015,"51,395"
"Nebraska",2015,"60,474"
"Nevada",2015,"52,008"
"New Hampshire",2015,"75,675"
"New Jersey",2015,"68,357"
"New Mexico",2015,"45,119"
"New York",2015,"58,005"
"North Carolina",2015,"50,797"
"North Dakota",2015,"57,415"
"Ohio",2015,"53,301"
"Oklahoma",2015,"47,077"
"Oregon",2015,"60,834"
"Pennsylvania",2015,"60,389"
"Rhode Island",2015,"55,701"
"South Carolina",2015,"46,360"
"South Dakota",2015,"55,065"
"Tennessee",2015,"47,330"
"Texas",2015,"56,473"
"Utah",2015,"66,258"
"Vermont",2015,"59,494"
"Virginia",2015,"61,486"
"Washington",2015,"67,243"
"West Virginia",2015,"42,824"
"Wisconsin",2015,"55,425"
"Wyoming",2015,"60,925"
"United States",2014,"53,657"
"Alabama",2014,"42,278"
"Alaska",2014,"67,629"
"Arizona",2014,"49,254"
"Arkansas",2014,"44,922"
"California",2014,"60,487"
"Colorado",2014,"60,940"
"Connecticut",2014,"70,161"
"Delaware",2014,"57,522"
"District of Columbia",2014,"68,277"
"Florida",2014,"46,140"
"Georgia",2014,"49,555"
"Hawaii",2014,"71,223"
"Idaho",2014,"53,438"
"Illinois",2014,"54,916"
"Indiana",2014,"48,060"
"Iowa",2014,"57,810"
"Kansas",2014,"53,444"
"Kentucky",2014,"42,786"
"Louisiana",2014,"42,406"
"Maine",2014,"51,710"
"Maryland",2014,"76,165"
"Massachusetts",2014,"63,151"
"Michigan",2014,"52,005"
"Minnesota",2014,"67,244"
"Mississippi",2014,"35,521"
"Missouri",2014,"56,630"
"Montana",2014,"51,102"
"Nebraska",2014,"56,870"
"Nevada",2014,"49,875"
"New Hampshire",2014,"73,397"
"New Jersey",2014,"65,243"
"New Mexico",2014,"46,686"
"New York",2014,"54,310"
"North Carolina",2014,"46,784"
"North Dakota",2014,"60,730"
"Ohio",2014,"49,644"
"Oklahoma",2014,"47,199"
"Oregon",2014,"58,875"
"Pennsylvania",2014,"55,173"
"Rhode Island",2014,"58,633"
"South Carolina",2014,"44,929"
"South Dakota",2014,"53,053"
"Tennessee",2014,"43,716"
"Texas",2014,"53,875"
"Utah",2014,"63,383"
"Vermont",2014,"60,708"
"Virginia",2014,"66,155"
"Washington",2014,"59,068"
"West Virginia",2014,"39,552"
"Wisconsin",2014,"58,080"
"Wyoming",2014,"55,690"
"United States",2013,"51,939"
"Alabama",2013,"41,381"
"Alaska",2013,"61,137"
"Arizona",2013,"50,602"
"Arkansas",2013,"39,919"
"California",2013,"57,528"
"Colorado",2013,"63,371"
"Connecticut",2013,"67,781"
"Delaware",2013,"52,219"
"District of Columbia",2013,"60,675"
"Florida",2013,"47,886"
"Georgia",2013,"47,439"
"Hawaii",2013,"61,408"
"Idaho",2013,"51,767"
"Illinois",2013,"57,196"
"Indiana",2013,"50,553"
"Iowa",2013,"54,855"
"Kansas",2013,"51,485"
"Kentucky",2013,"42,158"
"Louisiana",2013,"39,622"
"Maine",2013,"50,121"
"Maryland",2013,"65,262"
"Massachusetts",2013,"62,963"
"Michigan",2013,"48,801"
"Minnesota",2013,"60,907"
"Mississippi",2013,"40,850"
"Missouri",2013,"50,311"
"Montana",2013,"44,132"
"Nebraska",2013,"53,774"
"Nevada",2013,"45,369"
"New Hampshire",2013,"71,322"
"New Jersey",2013,"61,782"
"New Mexico",2013,"42,127"
"New York",2013,"53,843"
"North Carolina",2013,"41,208"
"North Dakota",2013,"52,888"
"Ohio",2013,"46,398"
"Oklahoma",2013,"43,777"
"Oregon",2013,"56,307"
"Pennsylvania",2013,"53,952"
"Rhode Island",2013,"57,812"
"South Carolina",2013,"43,749"
"South Dakota",2013,"54,453"
"Tennessee",2013,"42,499"
"Texas",2013,"53,027"
"Utah",2013,"62,967"
"Vermont",2013,"54,842"
"Virginia",2013,"67,620"
"Washington",2013,"60,106"
"West Virginia",2013,"40,241"
"Wisconsin",2013,"55,258"
"Wyoming",2013,"55,700"
"United States",2012,"51,017"
"Alabama",2012,"43,464"
"Alaska",2012,"63,648"
"Arizona",2012,"47,044"
"Arkansas",2012,"39,018"
"California",2012,"57,020"
"Colorado",2012,"57,255"
"Connecticut",2012,"64,247"
"Delaware",2012,"48,972"
"District of Columbia",2012,"65,246"
"Florida",2012,"46,071"
"Georgia",2012,"48,121"
"Hawaii",2012,"56,263"
"Idaho",2012,"47,922"
"Illinois",2012,"51,738"
"Indiana",2012,"46,158"
"Iowa",2012,"53,442"
"Kansas",2012,"50,003"
"Kentucky",2012,"41,086"
"Louisiana",2012,"39,085"
"Maine",2012,"49,158"
"Maryland",2012,"71,836"
"Massachusetts",2012,"63,656"
"Michigan",2012,"50,015"
"Minnesota",2012,"61,795"
"Mississippi",2012,"36,641"
"Missouri",2012,"49,764"
"Montana",2012,"45,088"
"Nebraska",2012,"52,196"
"Nevada",2012,"47,333"
"New Hampshire",2012,"67,819"
"New Jersey",2012,"66,692"
"New Mexico",2012,"43,424"
"New York",2012,"47,680"
"North Carolina",2012,"41,553"
"North Dakota",2012,"55,766"
"Ohio",2012,"44,375"
"Oklahoma",2012,"48,407"
"Oregon",2012,"51,775"
"Pennsylvania",2012,"51,904"
"Rhode Island",2012,"56,065"
"South Carolina",2012,"44,401"
"South Dakota",2012,"49,415"
"Tennessee",2012,"42,995"
"Texas",2012,"51,926"
"Utah",2012,"58,341"
"Vermont",2012,"55,582"
"Virginia",2012,"64,632"
"Washington",2012,"62,187"
"West Virginia",2012,"43,553"
"Wisconsin",2012,"53,079"
"Wyoming",2012,"57,512"
"United States",2011,"50,054"
"Alabama",2011,"42,590"
"Alaska",2011,"57,431"
"Arizona",2011,"48,621"
"Arkansas",2011,"41,302"
"California",2011,"53,367"
"Colorado",2011,"58,629"
"Connecticut",2011,"65,415"
"Delaware",2011,"54,660"
"District of Columbia",2011,"55,251"
"Florida",2011,"45,105"
"Georgia",2011,"45,973"
"Hawaii",2011,"59,047"
"Idaho",2011,"47,459"
"Illinois",2011,"50,637"
"Indiana",2011,"44,445"
"Iowa",2011,"50,219"
"Kansas",2011,"46,147"
"Kentucky",2011,"39,856"
"Louisiana",2011,"40,658"
"Maine",2011,"49,693"
"Maryland",2011,"68,876"
"Massachusetts",2011,"63,313"
"Michigan",2011,"48,879"
"Minnesota",2011,"57,820"
"Mississippi",2011,"41,090"
"Missouri",2011,"45,774"
"Montana",2011,"40,277"
"Nebraska",2011,"55,616"
"Nevada",2011,"47,043"
"New Hampshire",2011,"65,880"
"New Jersey",2011,"62,338"
"New Mexico",2011,"41,982"
"New York",2011,"50,636"
"North Carolina",2011,"45,206"
"North Dakota",2011,"56,361"
"Ohio",2011,"44,648"
"Oklahoma",2011,"48,455"
"Oregon",2011,"51,526"
"Pennsylvania",2011,"49,910"
"Rhode Island",2011,"49,033"
"South Carolina",2011,"40,084"
"South Dakota",2011,"47,223"
"Tennessee",2011,"42,279"
"Texas",2011,"49,047"
"Utah",2011,"55,493"
"Vermont",2011,"51,862"
"Virginia",2011,"62,616"
"Washington",2011,"56,850"
"West Virginia",2011,"41,821"
"Wisconsin",2011,"52,058"
"Wyoming",2011,"54,509"
"United States",2010,"49,276"
"Alabama",2010,"40,933"
"Alaska",2010,"57,848"
"Arizona",2010,"46,896"
"Arkansas",2010,"38,587"
"California",2010,"54,283"
"Colorado",2010,"60,233"
"Connecticut",2010,"65,998"
"Delaware",2010,"55,214"
"District of Columbia",2010,"56,928"
"Florida",2010,"44,066"
"Georgia",2010,"44,117"
"Hawaii",2010,"59,539"
"Idaho",2010,"47,050"
"Illinois",2010,"50,728"
"Indiana",2010,"46,139"
"Iowa",2010,"49,016"
"Kansas",2010,"46,054"
"Kentucky",2010,"41,104"
"Louisiana",2010,"39,300"
"Maine",2010,"47,931"
"Maryland",2010,"64,201"
"Massachusetts",2010,"60,934"
"Michigan",2010,"46,276"
"Minnesota",2010,"52,321"
"Mississippi",2010,"38,160"
"Missouri",2010,"45,817"
"Montana",2010,"41,280"
"Nebraska",2010,"52,504"
"Nevada",2010,"51,200"
"New Hampshire",2010,"66,633"
"New Jersey",2010,"62,968"
"New Mexico",2010,"45,134"
"New York",2010,"49,781"
"North Carolina",2010,"43,830"
"North Dakota",2010,"51,006"
"Ohio",2010,"45,886"
"Oklahoma",2010,"43,103"
"Oregon",2010,"50,602"
"Pennsylvania",2010,"48,314"
"Rhode Island",2010,"51,623"
"South Carolina",2010,"41,698"
"South Dakota",2010,"45,352"
"Tennessee",2010,"38,591"
"Texas",2010,"47,266"
"Utah",2010,"56,701"
"Vermont",2010,"55,928"
"Virginia",2010,"60,367"
"Washington",2010,"56,163"
"West Virginia",2010,"42,777"
"Wisconsin",2010,"50,351"
"Wyoming",2010,"52,201"
"United States",2009,"49,777"
"Alabama",2009,"39,980"
"Alaska",2009,"61,604"
"Arizona",2009,"45,739"
"Arkansas",2009,"36,538"
"California",2009,"56,134"
"Colorado",2009,"55,930"
"Connecticut",2009,"64,851"
"Delaware",2009,"52,114"
"District of Columbia",2009,"53,141"
"Florida",2009,"45,631"
"Georgia",2009,"43,340"
"Hawaii",2009,"55,649"
"Idaho",2009,"46,778"
"Illinois",2009,"52,870"
"Indiana",2009,"44,305"
"Iowa",2009,"50,721"
"Kansas",2009,"44,717"
"Kentucky",2009,"42,664"
"Louisiana",2009,"45,433"
"Maine",2009,"47,502"
"Maryland",2009,"64,186"
"Massachusetts",2009,"59,373"
"Michigan",2009,"45,994"
"Minnesota",2009,"56,090"
"Mississippi",2009,"35,078"
"Missouri",2009,"48,769"
"Montana",2009,"40,437"
"Nebraska",2009,"49,595"
"Nevada",2009,"51,434"
"New Hampshire",2009,"64,131"
"New Jersey",2009,"64,777"
"New Mexico",2009,"43,542"
"New York",2009,"50,216"
"North Carolina",2009,"41,906"
"North Dakota",2009,"50,075"
"Ohio",2009,"45,879"
"Oklahoma",2009,"45,878"
"Oregon",2009,"49,098"
"Pennsylvania",2009,"48,172"
"Rhode Island",2009,"51,634"
"South Carolina",2009,"41,101"
"South Dakota",2009,"45,826"
"Tennessee",2009,"40,517"
"Texas",2009,"47,475"
"Utah",2009,"58,491"
"Vermont",2009,"52,318"
"Virginia",2009,"60,501"
"Washington",2009,"60,392"
"West Virginia",2009,"40,490"
"Wisconsin",2009,"51,237"
"Wyoming",2009,"52,470"
"United States",2008,"50,303"
"Alabama",2008,"44,476"
"Alaska",2008,"63,989"
"Arizona",2008,"46,914"
"Arkansas",2008,"39,586"
"California",2008,"57,014"
"Colorado",2008,"60,943"
"Connecticut",2008,"64,682"
"Delaware",2008,"50,702"
"District of Columbia",2008,"55,590"
"Florida",2008,"44,857"
"Georgia",2008,"46,227"
"Hawaii",2008,"61,521"
"Idaho",2008,"47,420"
"Illinois",2008,"53,254"
"Indiana",2008,"46,520"
"Iowa",2008,"50,142"
"Kansas",2008,"47,877"
"Kentucky",2008,"41,148"
"Louisiana",2008,"39,563"
"Maine",2008,"47,228"
"Maryland",2008,"63,711"
"Massachusetts",2008,"60,320"
"Michigan",2008,"49,788"
"Minnesota",2008,"54,925"
"Mississippi",2008,"36,446"
"Missouri",2008,"46,038"
"Montana",2008,"42,900"
"Nebraska",2008,"50,728"
"Nevada",2008,"54,744"
"New Hampshire",2008,"66,176"
"New Jersey",2008,"65,306"
