"state","year","income"
"Wisconsin",1986,"26,430"
"Wyoming",1986,"23,559"
"United States",1985,"23,618"
"Alabama",1985,"18,333"
"Alaska",1985,"34,782"
"Arizona",1985,"23,877"
"Arkansas",1985,"17,451"
"California",1985,"26,981"
"Colorado",1985,"28,182"
"Connecticut",1985,"31,090"
"Delaware",1985,"22,980"
"District of Columbia",1985,"21,076"
"Florida",1985,"21,343"
"Georgia",1985,"21,049"
"Hawaii",1985,"28,961"
"Idaho",1985,"20,761"
"Illinois",1985,"24,870"
"Indiana",1985,"22,675"
"Iowa",1985,"20,927"
"Kansas",1985,"22,788"
"Kentucky",1985,"17,361"
"Louisiana",1985,"21,179"
"Maine",1985,"20,519"
"Maryland",1985,"30,136"
"Massachusetts",1985,"28,207"
"Michigan",1985,"24,242"
"Minnesota",1985,"23,856"
"Mississippi",1985,"16,413"
"Missouri",1985,"21,939"
"Montana",1985,"20,236"
"Nebraska",1985,"21,799"
"Nevada",1985,"23,274"
"New Hampshire",1985,"26,403"
"New Jersey",1985,"30,980"
"New Mexico",1985,"20,423"
"New York",1985,"23,639"
"North Carolina",1985,"21,451"
"North Dakota",1985,"21,205"
"Ohio",1985,"25,174"
"Oklahoma",1985,"21,205"
"Oregon",1985,"21,894"
"Pennsylvania",1985,"22,877"
"Rhode Island",1985,"24,625"
"South Carolina",1985,"20,036"
"South Dakota",1985,"18,142"
"Tennessee",1985,"17,778"
"Texas",1985,"23,743"
"Utah",1985,"25,238"
"Vermont",1985,"26,000"
"Virginia",1985,"28,429"
"Washington",1985,"24,000"
"West Virginia",1985,"15,983"
"Wisconsin",1985,"23,246"
"Wyoming",1985,"22,081"
"United States",1984,"22,415"
"Alabama",1984,"17,310"
"Alaska",1984,"32,356"
"Arizona",1984,"21,425"
"Arkansas",1984,"15,674"
"California",1984,"25,287"
"Colorado",1984,"25,801"
"Connecticut",1984,"29,951"
"Delaware",1984,"25,819"
"District of Columbia",1984,"20,408"
"Florida",1984,"19,785"
"Georgia",1984,"19,984"
"Hawaii",1984,"28,877"
"Idaho",1984,"21,092"
"Illinois",1984,"23,752"
"Indiana",1984,"22,770"
"Iowa",1984,"19,863"
"Kansas",1984,"24,629"
"Kentucky",1984,"17,680"
"Louisiana",1984,"18,949"
"Maine",1984,"20,648"
"Maryland",1984,"29,708"
"Massachusetts",1984,"26,959"
"Michigan",1984,"22,965"
"Minnesota",1984,"24,436"
"Mississippi",1984,"15,430"
"Missouri",1984,"20,775"
"Montana",1984,"19,536"
"Nebraska",1984,"21,397"
"Nevada",1984,"25,776"
"New Hampshire",1984,"25,914"
"New Jersey",1984,"27,776"
"New Mexico",1984,"20,630"
"New York",1984,"22,027"
"North Carolina",1984,"20,569"
"North Dakota",1984,"20,771"
"Ohio",1984,"23,123"
"Oklahoma",1984,"21,148"
"Oregon",1984,"21,399"
"Pennsylvania",1984,"20,346"
"Rhode Island",1984,"21,612"
"South Carolina",1984,"20,309"
"South Dakota",1984,"19,409"
"Tennessee",1984,"16,782"
"Texas",1984,"23,024"
"Utah",1984,"23,057"
"Vermont",1984,"22,578"
"Virginia",1984,"26,525"
"Washington",1984,"25,017"
"West Virginia",1984,"16,843"
"Wisconsin",1984,"20,743"
"Wyoming",1984,"23,816"
