STATE,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_EXPENDITURE
Mississippi,1997,503979,2274700,2319324
Missouri,1997,899750,5550134,5527705
Montana,1997,164464,989991,972059
Nebraska,1997,290883,1994021,1946725
Nevada,1997,282131,1701290,1905940
New Hampshire,1997,193524,1339186,1431472
New Jersey,1997,1216721,12910890,13242022
New Mexico,1997,332849,1768148,1826524
New York,1997,2818497,26775074,28227561
North Carolina,1997,1208695,6827952,7007690
North Dakota,1997,118433,683331,679692
Ohio,1997,1844245,12630491,12421963
Oklahoma,1997,620695,3413742,3390894
Oregon,1997,537675,3477420,3792572
Pennsylvania,1997,1781383,15184431,15777276
Rhode Island,1997,150433,1185534,1175638
South Carolina,1997,641925,3874045,3921465
South Dakota,1997,135601,747462,711052
Tennessee,1997,886517,4390879,4695409
Texas,1997,3826366,23091567,23671010
Utah,1997,479812,2187279,2178778
Vermont,1997,101584,1022546,1069297
Virginia,1997,1096279,7345090,7436340
Washington,1997,974504,6667626,6792261
West Virginia,1997,303441,2053981,2018185
Wisconsin,1997,879021,6724752,6990489
Wyoming,1997,98777,660079,695127
Alabama,1998,739321,4140537,4245033
Alaska,1998,130633,1206195,1222893
Arizona,1998,794331,4675296,4726098
Arkansas,1998,456355,2567380,2536027
California,1998,5727224,39183018,38087666
Colorado,1998,686360,4359021,4739136
Connecticut,1998,515141,5024673,4810851
Delaware,1998,111428,934530,915207
District of Columbia,1998,77111,706938,716740
Florida,1998,2292161,15595671,15155383
Georgia,1998,1375980,9207163,8990897
Hawaii,1998,189887,1279125,1266378
Idaho,1998,244403,1310960,1342719
Illinois,1998,1972406,14688777,15207067
Indiana,1998,985690,7656749,7649103
Iowa,1998,501054,3589705,3650286
Kansas,1998,468980,3207670,3087318
Kentucky,1998,645232,3938009,4018512
Louisiana,1998,774561,4443468,4379797
Maine,1998,212038,1611926,1601411
Maryland,1998,830744,6521269,6519389
Massachusetts,1998,942331,7726497,8098720
Michigan,1998,1680559,14712250,14905765
Minnesota,1998,841723,6672384,6815289
Mississippi,1998,504792,2400660,2543454
Missouri,1998,909441,5990499,5849648
Montana,1998,162164,1035636,1007146
Nebraska,1998,291570,2062836,1966403
Nevada,1998,296621,1906860,2030065
New Hampshire,1998,196734,1420100,1428447
New Jersey,1998,1238948,13786951,13973201
New Mexico,1998,331673,1913783,1933538
New York,1998,2834992,27900803,29853891
North Carolina,1998,1230010,7516979,7688076
North Dakota,1998,116813,731384,715126
Ohio,1998,1846585,13577343,13005301
Oklahoma,1998,623681,3559980,3617938
Oregon,1998,540226,3892091,3939722
Pennsylvania,1998,1791100,15671363,16432921
Rhode Island,1998,152356,1255280,1221558
South Carolina,1998,648084,4109130,4241163
South Dakota,1998,133698,793101,781279
Tennessee,1998,876693,4757639,4988208
Texas,1998,3888061,24485263,25723965
Utah,1998,480811,2295870,2326611
Vermont,1998,101413,1089658,1064388
Virginia,1998,1110815,7723744,7813707
Washington,1998,991235,6928738,7211601
West Virginia,1998,300737,2178936,2100841
Wisconsin,1998,881552,7083655,7532110
Wyoming,1998,96504,703280,706801
Alabama,1999,737639,4471546,4622810
Alaska,1999,133508,1243227,1289988
Arizona,1999,814157,5085826,5072471
Arkansas,1999,451981,2684966,2650808
California,1999,5839207,41393435,40834643
Colorado,1999,698402,4740254,5040224
Connecticut,1999,522415,5460213,5269517
Delaware,1999,112320,1004472,960335
District of Columbia,1999,71889,758072,738942
Florida,1999,2333567,17093036,16156822
Georgia,1999,1401291,10380164,10106670
Hawaii,1999,188069,1328572,1357649
Idaho,1999,244623,1405250,1409367
Illinois,1999,1987427,16208970,16783840
Indiana,1999,986891,8167164,8196714
Iowa,1999,498214,3740509,3789049
Kansas,1999,469758,3390596,3189867
Kentucky,1999,653628,4188131,4305678
Louisiana,1999,764642,4641847,4702496
Maine,1999,210245,1708133,1699835
Maryland,1999,841671,6850334,6892276
Massachusetts,1999,957402,8388120,8673439
Michigan,1999,1696275,15248112,15837858
Minnesota,1999,843802,6949149,7450965
Mississippi,1999,502382,2532681,2811852
Missouri,1999,911563,6238901,6228001
Montana,1999,159813,1049369,1026263
Nebraska,1999,290383,2212104,2062226
Nevada,1999,311063,2089048,2298474
New Hampshire,1999,201252,1498286,1491560
New Jersey,1999,1257772,14977501,14927302
New Mexico,1999,328715,2068337,2098998
New York,1999,2850352,30215370,31841870
North Carolina,1999,1244926,8476795,8674393
North Dakota,1999,114546,770094,756337
Ohio,1999,1834379,14507056,13865260
Oklahoma,1999,628522,3788901,3817848
Oregon,1999,541436,4080653,4172435
Pennsylvania,1999,1787430,16361921,17113809
Rhode Island,1999,153710,1358566,1289045
South Carolina,1999,652731,4365352,4610436
South Dakota,1999,131728,825851,838078
Tennessee,1999,893842,5059587,5446555
Texas,1999,3933017,26096023,27883593
Utah,1999,478814,2425600,2448591
Vermont,1999,100348,1147600,1129982
Virginia,1999,1122858,8331336,8335873
Washington,1999,999616,7288143,7489129
West Virginia,1999,296551,2190420,2169432
Wisconsin,1999,878983,7415243,7875805
Wyoming,1999,94420,780875,739019
Alabama,2000,730184,4885917,5003267
Alaska,2000,132822,1313510,1386904
Arizona,2000,814807,5479168,5397194
Arkansas,2000,450751,2844855,2683400
California,2000,5941946,46628207,45829753
Colorado,2000,707436,5073266,5444193
Connecticut,2000,530363,5884078,5605280
Delaware,2000,112743,1098555,1040480
District of Columbia,2000,70762,881423,858807
Florida,2000,2377271,17558787,17180954
Georgia,2000,1422941,11197766,10884510
Hawaii,2000,185860,1404895,1363511
Idaho,2000,245226,1452222,1467977
Illinois,2000,2003839,17595047,18073190
Indiana,2000,987214,8489991,8518477
Iowa,2000,497301,3822452,3974813
Kansas,2000,469377,3518271,3327090
Kentucky,2000,646467,4330089,4510972
Louisiana,2000,750755,4785331,4807097
Maine,2000,209012,1792390,1842276
Maryland,2000,846582,7419047,7355698
Massachusetts,2000,958907,9464271,9466363
Michigan,2000,1700074,15939477,16580526
Minnesota,2000,839839,7344747,7736391
Mississippi,2000,499362,2743284,2996474
Missouri,2000,913517,6675260,6708608
Montana,2000,157381,1104935,1051768
Nebraska,2000,287566,2263952,2165529
Nevada,2000,325610,2252416,2437438
New Hampshire,2000,203178,1586869,1640395
New Jersey,2000,1279542,15651060,15907248
New Mexico,2000,324489,2191695,2165031
New York,2000,2861478,31906526,33683043
North Carolina,2000,1261586,9064700,9275837
North Dakota,2000,112349,812982,802768
Ohio,2000,1822566,15327834,14909952
Oklahoma,2000,627032,3906833,3876871
Oregon,2000,542739,4369400,4398318
Pennsylvania,2000,1782444,17090654,17861852
Rhode Island,2000,155351,1464820,1388454
South Carolina,2000,666780,4690418,4961392
South Dakota,2000,130279,868161,898609
Tennessee,2000,907222,5338531,5805181
Texas,2000,3965971,28918934,31067935
Utah,2000,477835,2546642,2478420
Vermont,2000,99609,1211370,1193813
Virginia,2000,1132673,8911426,9154676
Washington,2000,1003714,7620930,7811937
West Virginia,2000,290982,2243151,2243563
Wisconsin,2000,877165,7848352,8183251
Wyoming,2000,91883,787323,769923
Alabama,2001,728532,4832946,5086045
Alaska,2001,131985,1325498,1402839
Arizona,2001,834387,5916342,5858385
Arkansas,2001,449693,2974588,2951677
California,2001,6045030,53288943,52082540
Colorado,2001,723696,5372784,5727966
Connecticut,2001,537521,6331569,5987680
Delaware,2001,112055,1153831,1175717
District of Columbia,2001,68925,1042261,1026146
Florida,2001,2431884,18467090,18389394
Georgia,2001,1444937,12271962,11853800
Hawaii,2001,184360,1682332,1363164
Idaho,2001,243926,1571348,1535485
Illinois,2001,2025249,18534372,19337580
Indiana,2001,987854,9124748,8991877
Iowa,2001,495080,4068110,4211493
Kansas,2001,468347,3681845,3491029
Kentucky,2001,643730,4536133,4350588
Louisiana,2001,737223,4982369,4939894
Maine,2001,207171,1914551,1958646
Maryland,2001,852920,7864290,7981362
Massachusetts,2001,965934,10613329,10572138
Michigan,2001,1705088,16772419,17573761
Minnesota,2001,836386,7836617,8221636
Mississippi,2001,496513,2823151,2930393
Missouri,2001,911673,7081783,7100685
Montana,2001,154700,1139959,1129098
Nebraska,2001,285331,2355374,2344564
Nevada,2001,339451,2381897,2692840
New Hampshire,2001,204721,1757828,1796043
New Jersey,2001,1301195,16854895,17144456
New Mexico,2001,319524,2373143,2315182
New York,2001,2856277,34373567,38062603
North Carolina,2001,1277013,9670620,9807815
North Dakota,2001,108788,818139,814838
Ohio,2001,1821546,16693845,16282257
Oklahoma,2001,623110,4257128,4288405
Oregon,2001,544756,4561948,4715944
Pennsylvania,2001,1771473,17792997,18666522
Rhode Island,2001,156275,1592622,1504125
South Carolina,2001,676681,5437615,5492539
South Dakota,2001,127986,886661,950595
Tennessee,2001,895839,5560822,6165661
Texas,2001,4021535,30868844,33201450
Utah,2001,477380,2741771,2669621
Vermont,2001,97715,1300273,1306513
Virginia,2001,1143807,9493862,9862715
Washington,2001,1004843,7936037,8026334
West Virginia,2001,285785,2321731,2310098
Wisconsin,2001,875569,8363904,8574804
Wyoming,2001,89711,804297,787949
Alabama,2002,726367,5128559,5147821
Alaska,2002,133010,1377767,1523327
Arizona,2002,859588,6192222,6018188
Arkansas,2002,449161,3147921,3087453
California,2002,6136915,54727056,56464225
Colorado,2002,741319,5849588,6237142
Connecticut,2002,543829,6644334,6475918
Delaware,2002,111331,1180255,1246284
District of Columbia,2002,68449,1138126,1145684
Florida,2002,2500179,18541689,19051049
Georgia,2002,1470634,13042229,12690343
Hawaii,2002,184546,1889600,1436637
Idaho,2002,244937,1625444,1666027
Illinois,2002,2047836,19084554,20563001
Indiana,2002,994348,9273957,9353054
Iowa,2002,485932,4191217,4418238
Kansas,2002,470204,3823261,3690815
Kentucky,2002,654363,4621025,4541670
Louisiana,2002,725027,5229238,5298267
Maine,2002,205344,2041986,2057022
Maryland,2002,860640,8430663,8568446
Massachusetts,2002,959641,11217085,11507438
Michigan,2002,1724961,18055855,18881772
Minnesota,2002,832265,8065042,8716123
Mississippi,2002,492198,3029559,3026111
Missouri,2002,909918,7455539,7636924
Montana,2002,151751,1168799,1163960
Nebraska,2002,283789,2528312,2562812
Nevada,2002,354869,2592064,2913023
New Hampshire,2002,203072,1887115,1956047
New Jersey,2002,1326196,18071365,18155147
New Mexico,2002,317548,2537261,2542682
New York,2002,2846068,35748163,39585780
North Carolina,2002,1296156,9701231,9882399
North Dakota,2002,105936,846759,838666
Ohio,2002,1796603,17589983,17608944
Oklahoma,2002,622115,4370415,4467944
Oregon,2002,549604,4772603,4980466
Pennsylvania,2002,1766513,18586743,20018554
Rhode Island,2002,156624,1633707,1600087
South Carolina,2002,674347,5627004,5897462
South Dakota,2002,127129,930874,981977
Tennessee,2002,897695,5785857,6363357
Texas,2002,4112315,32802734,35668486
Utah,2002,480526,2865058,2924051
Vermont,2002,96427,1387074,1392880
Virginia,2002,1162045,9914221,10209197
Washington,2002,1009200,8250593,8362656
West Virginia,2002,282145,2413744,2427316
Wisconsin,2002,875216,8624767,8863966
Wyoming,2002,87897,908719,868607
Alabama,2003,727900,5196054,5298932
Alaska,2003,133303,1425948,1610289
Arizona,2003,875111,6529894,6210287
Arkansas,2003,450158,3241275,3242799
California,2003,6226552,59815855,59749885
Colorado,2003,751049,6297242,6685029
Connecticut,2003,548466,6959891,6751815
Delaware,2003,111282,1242436,1317447
District of Columbia,2003,67522,1114061,1105963
Florida,2003,2536699,19549835,20180142
Georgia,2003,1495819,13524807,13516783
Hawaii,2003,183829,2078877,1602392
Idaho,2003,248515,1685984,1726941
Illinois,2003,2062664,19627346,21278177
Indiana,2003,999713,8246076,9777720
Iowa,2003,482210,4374803,4517990
Kansas,2003,470264,4068800,3818740
Kentucky,2003,660782,4872025,4700494
Louisiana,2003,723252,5478321,5515322
Maine,2003,203848,2162605,2154117
Maryland,2003,866743,8700979,8732518
Massachusetts,2003,967200,11591832,11382398
Michigan,2003,1764327,18488359,19680370
Minnesota,2003,825674,8484497,8938770
Mississippi,2003,491623,3260771,3205193
Missouri,2003,921625,7622601,7905481
Montana,2003,149801,1205602,1214879
Nebraska,2003,283934,2600831,2623966
Nevada,2003,369498,2778564,3009028
New Hampshire,2003,203702,2028602,2122604
New Jersey,2003,1350330,19785039,19812932
New Mexico,2003,320264,2626262,2658140
New York,2003,2879228,38033080,41603390
North Carolina,2003,1314632,9907235,9989670
North Dakota,2003,103785,882913,895278
Ohio,2003,1803966,18018740,18760200
Oklahoma,2003,624202,4426835,4376502
Oregon,2003,552135,4592019,4978764
Pennsylvania,2003,1757066,19811545,20626459
Rhode Island,2003,157286,1728055,1646238
South Carolina,2003,691736,5709707,6024747
South Dakota,2003,127632,965778,993823
Tennessee,2003,905050,5994756,6482671
Texas,2003,4201914,35143236,37333674
Utah,2003,483066,2875622,2957874
Vermont,2003,94901,1451171,1440961
Virginia,2003,1175458,10504167,10746679
Washington,2003,1014577,8565636,8802387
West Virginia,2003,281591,2497707,2524444
Wisconsin,2003,875390,8931497,9128279
Wyoming,2003,85966,962240,915515
Alabama,2004,730418,5356113,5450269
Alaska,2004,133153,1477152,1647250
Arizona,2004,895927,7117923,6731212
Arkansas,2004,453491,3385818,3539569
California,2004,6284502,60162326,62647953
Colorado,2004,756319,6527456,6869975
Connecticut,2004,552505,7276945,7087023
Delaware,2004,111520,1334523,1373416
District of Columbia,2004,65099,1081501,1087040
Florida,2004,2592997,21623923,21896220
Georgia,2004,1522424,14136215,13779680
Hawaii,2004,183609,2138137,1734591
Idaho,2004,252037,1733838,1744954
Illinois,2004,2079027,21082441,21681903
Indiana,2004,1005587,10423578,10312694
Iowa,2004,481226,4396136,4443289
Kansas,2004,469824,4377709,3982036
Kentucky,2004,663886,5135262,5259909
Louisiana,2004,721414,5713792,5708535
