"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income"
1986,"RI","Rhode Island",975000,3271,34,209,1157,1871,44528,12616,25041,6871,"26,540"
1986,"SC","South Carolina",3378000,22789,291,1395,3361,17742,150752,45276,96132,9344,"21,968"
1986,"SD","South Dakota",708000,883,28,125,115,615,18346,3919,13728,699,"19,898"
1986,"TN","Tennessee",4803000,25919,501,2256,9978,13184,191861,63649,102103,26109,"18,256"
1986,"TX","Texas",16682000,109925,2258,8607,40021,59039,1125897,341747,665029,119121,"24,162"
1986,"UT","Utah",1665000,4441,53,421,976,2991,86774,15233,67825,3716,"26,281"
1986,"VA","Virginia",5787000,17708,411,1533,6118,9646,205658,47021,145935,12702,"29,715"
1986,"VT","Vermont",541000,807,11,118,120,558,20708,5135,14593,980,"24,599"
1986,"WA","Washington",4463000,19505,223,2382,6031,10869,287535,83078,190420,14037,"26,881"
1986,"WI","Wisconsin",4785000,12339,149,961,3483,7746,183692,37464,134083,12145,"26,430"
1986,"WV","West Virginia",1919000,3156,114,362,787,1893,41301,11999,26055,3247,"16,464"
1986,"WY","Wyoming",507000,1486,27,111,114,1234,20605,4144,15606,855,"23,559"
1987,"USA","United States",242288918,1483999,20096,91111,517704,855088,12024709,3236184,7499851,1288674,"26,061"
1987,"AK","Alaska",525000,2391,53,341,384,1613,25841,5093,18195,2553,"33,233"
1987,"AL","Alabama",4083000,22833,380,1137,4581,16735,158918,48927,99260,10731,"19,734"
1987,"AR","Arkansas",2388000,9839,182,779,1890,6988,91537,25743,60862,4932,"18,827"
1987,"AZ","Arizona",3386000,20742,253,1396,4687,14406,222663,55059,153296,14308,"26,749"
1987,"CA","California",27663000,253943,2924,12109,83341,155569,1545928,419969,896335,229624,"30,146"
1987,"CO","Colorado",3296000,15409,191,1344,3916,9958,197225,50580,132266,14379,"26,476"
1987,"CT","Connecticut",3211000,13455,156,800,5720,6779,146958,39120,90852,16986,"32,862"
1987,"DC","District of Columbia",622000,10016,225,245,4462,5084,42553,11244,25012,6297,"27,455"
1987,"DE","Delaware",644000,2774,33,441,789,1511,29032,6572,20453,2007,"29,244"
1987,"FL","Florida",12023000,123168,1371,6032,42869,72896,899167,271346,546466,81355,"24,489"
1987,"GA","Georgia",6222000,35868,735,2681,13014,19438,324511,96572,197302,30637,"26,714"
1987,"HI","Hawaii",1083000,2851,52,393,1061,1345,60157,12515,43678,3964,"35,022"
1987,"IA","Iowa",2834000,6553,59,337,1025,5132,110781,26010,80489,4282,"22,190"
1987,"ID","Idaho",998000,2138,31,175,242,1690,39342,9748,27923,1671,"20,755"
1987,"IL","Illinois",11582000,92216,967,4443,36406,50400,535126,130147,342492,62487,"27,084"
1987,"IN","Indiana",5531000,18169,307,1609,4901,11352,209695,52363,137722,19610,"22,519"
1987,"KS","Kansas",2476000,8932,110,808,2032,5982,112488,28177,78043,6268,"25,583"
1987,"KY","Kentucky",3727000,12589,280,781,3361,8167,109284,31571,70532,7181,"20,673"
1987,"LA","Louisiana",4461000,30916,496,1600,7987,20833,231090,64441,148247,18402,"21,349"
1987,"MA","Massachusetts",5855000,33060,173,1868,10379,20640,244105,62056,127939,54110,"32,241"
1987,"MD","Maryland",4535000,34820,436,1795,13164,19425,213589,52718,134485,26386,"34,970"
1987,"ME","Maine",1187000,1806,30,186,304,1286,40122,9148,28916,2058,"23,600"
1987,"MI","Michigan",9200000,71772,1124,6184,25442,39022,522254,133602,319470,69182,"27,702"
1987,"MN","Minnesota",4246000,12118,112,1439,4354,6213,183868,45384,125686,12798,"28,082"
1987,"MO","Missouri",5103000,27792,423,1473,8376,17520,212430,56711,133964,21755,"23,720"
1987,"MT","Montana",809000,1223,33,160,196,834,35986,6521,27541,1924,"20,474"
1987,"NC","North Carolina",6413000,31039,519,1863,6023,22634,267157,86964,165841,14352,"22,760"
1987,"ND","North Dakota",672000,382,10,63,51,258,18656,3060,14768,828,"22,576"
1987,"NE","Nebraska",1594000,4004,55,345,751,2853,61853,13516,45692,2645,"23,268"
1987,"NH","New Hampshire",1057000,1581,32,281,280,988,34058,7344,24426,2288,"32,338"
1987,"NJ","New Jersey",7672000,41507,351,2559,17862,20735,362155,77392,219906,64857,"34,241"
1987,"NM","New Mexico",1500000,9427,152,646,1625,7004,88775,26815,56777,5183,"20,758"
1987,"NV","Nevada",1007000,7006,85,622,2744,3555,57154,16408,35157,5589,"26,878"
1987,"NY","New York",17825000,179691,2016,5537,89721,82417,881330,216826,539175,125329,"26,384"
1987,"OH","Ohio",10784000,45436,630,4305,16511,23990,447964,114580,292093,41291,"25,773"
1987,"OK","Oklahoma",3272000,13664,244,1173,3583,8664,183495,58333,105369,19793,"21,691"
1987,"OR","Oregon",2724000,14697,153,1247,5338,7959,175138,48562,113907,12669,"25,038"
1987,"PA","Pennsylvania",11936000,44087,642,3130,17241,23074,333476,86177,205619,41680,"25,424"
1987,"RI","Rhode Island",986000,3547,35,241,1062,2209,48568,14208,26635,7725,"28,292"
1987,"SC","South Carolina",3425000,22773,318,1497,3463,17495,154021,46511,97892,9618,"25,049"
1987,"SD","South Dakota",709000,849,13,146,87,603,18138,3787,13673,678,"21,151"
1987,"TN","Tennessee",4855000,25900,444,2133,9409,13914,200616,65632,107459,27525,"21,179"
1987,"TX","Texas",16789000,105961,1959,8068,38053,57881,1190558,355597,711594,123367,"24,721"
1987,"UT","Utah",1680000,3861,55,365,887,2554,90532,15975,71038,3519,"26,529"
1987,"VA","Virginia",5904000,17414,437,1537,6244,9196,216354,47642,153690,15022,"29,996"
1987,"VT","Vermont",548000,748,15,123,92,518,22658,6085,15485,1088,"25,415"
1987,"WA","Washington",4538000,19945,256,2370,6417,10902,298491,86428,194131,17932,"27,319"
1987,"WI","Wisconsin",4807000,12014,168,954,3192,7700,188411,40502,136058,11851,"26,369"
1987,"WV","West Virginia",1897000,2605,92,429,591,1493,38953,11450,24436,3067,"17,207"
1987,"WY","Wyoming",490000,1387,10,154,98,1125,18366,3516,14171,679,"27,590"
1988,"USA","United States",244498982,1566221,20675,92486,542968,910092,12356865,3218077,7705872,1432916,"27,225"
1988,"AK","Alaska",513000,2682,29,296,374,1983,22566,4321,15911,2334,"33,103"
1988,"AL","Alabama",4127000,23052,408,1228,4860,16556,165209,50920,103282,11007,"19,948"
1988,"AR","Arkansas",2422000,10237,211,780,2037,7209,91962,26443,60363,5156,"20,172"
1988,"AZ","Arizona",3466000,21147,294,1345,4750,14758,237808,54773,167121,15914,"26,435"
1988,"CA","California",28168000,261912,2936,11780,86141,161055,1607180,407631,933636,265913,"30,287"
1988,"CO","Colorado",3290000,15548,187,1269,3250,10842,187719,45503,128331,13885,"26,214"
1988,"CT","Connecticut",3241000,14759,174,849,6080,7656,150455,39477,91079,19899,"36,213"
1988,"DC","District of Columbia",620000,11914,369,165,5690,5690,49557,12300,28624,8633,"26,741"
1988,"DE","Delaware",660000,2981,34,491,784,1672,28693,6868,19824,2001,"30,505"
1988,"FL","Florida",12377000,138343,1416,6154,49916,80857,967869,283960,589215,94694,"25,406"
1988,"GA","Georgia",6401000,42589,748,2970,15593,23278,362376,103106,223768,35502,"26,566"
1988,"HI","Hawaii",1093000,2810,44,355,919,1492,62650,13726,44946,3978,"33,024"
1988,"IA","Iowa",2834000,7279,47,446,1132,5654,108254,24211,79447,4596,"24,305"
1988,"ID","Idaho",999000,2345,36,179,202,1928,37345,8691,26893,1761,"23,450"
1988,"IL","Illinois",11544000,93557,991,4449,36097,52020,555316,130292,355148,69876,"29,524"
1988,"IN","Indiana",5575000,21187,358,1731,4963,14135,210177,52137,138335,19705,"26,293"
1988,"KS","Kansas",2487000,9083,85,779,2136,6083,112280,29321,76927,6032,"25,566"
1988,"KY","Kentucky",3721000,12284,229,835,2764,8456,104362,30747,66711,6904,"19,907"
1988,"LA","Louisiana",4420000,31711,512,1702,9238,20259,222913,63843,139141,19929,"20,497"
1988,"MA","Massachusetts",5871000,36376,208,1876,10352,23940,256639,62307,141933,52399,"33,213"
1988,"MD","Maryland",4644000,37466,449,1721,13994,21302,227457,54735,141509,31213,"36,552"
1988,"ME","Maine",1206000,1898,37,224,311,1326,41249,9852,28928,2469,"26,402"
1988,"MI","Michigan",9300000,68980,1009,6462,22424,39085,496867,122254,305693,68920,"29,472"
1988,"MN","Minnesota",4306000,12490,124,1337,4079,6950,173302,39167,119526,14609,"29,087"
1988,"MO","Missouri",5139000,28393,413,1505,8638,17837,220578,58605,139648,22325,"23,443"
1988,"MT","Montana",804000,989,21,135,182,651,33318,5657,25921,1740,"22,231"
1988,"NC","North Carolina",6526000,32753,510,1833,7085,23325,284557,90791,177426,16340,"24,415"
1988,"ND","North Dakota",663000,392,12,74,54,252,17695,2902,14007,786,"24,092"
1988,"NE","Nebraska",1601000,4374,58,385,898,3033,61908,12251,46634,3023,"25,159"
1988,"NH","New Hampshire",1097000,1622,25,276,231,1090,34951,7489,24964,2498,"34,625"
1988,"NJ","New Jersey",7720000,44993,411,2600,18927,23055,363807,75675,219086,69046,"36,287"
1988,"NM","New Mexico",1510000,9938,173,580,1557,7628,89817,27737,56192,5888,"19,296"
1988,"NV","Nevada",1060000,8275,111,782,3087,4295,60128,16376,37401,6351,"27,983"
1988,"NY","New York",17898000,196396,2244,5479,97434,91239,932845,218060,560887,153898,"28,915"
1988,"OH","Ohio",10872000,49144,585,4632,17546,26381,455890,112130,300355,43405,"27,740"
1988,"OK","Oklahoma",3263000,14179,243,1229,3428,9279,168194,53624,96418,18152,"23,667"
1988,"OR","Oregon",2741000,14959,139,1111,5289,8420,178520,48355,113872,16293,"27,748"
1988,"PA","Pennsylvania",12027000,43534,660,2992,16607,23275,338486,83791,203362,51333,"26,742"
1988,"RI","Rhode Island",995000,3947,41,303,1146,2457,47837,12550,27049,8238,"29,842"
1988,"SC","South Carolina",3493000,25889,325,1493,4357,19714,163164,49467,103055,10642,"25,533"
1988,"SD","South Dakota",715000,813,22,192,87,512,17641,3703,13255,683,"22,294"
1988,"TN","Tennessee",4919000,26205,461,2201,8537,15006,193647,60894,106052,26701,"20,856"
1988,"TX","Texas",16780000,109499,2022,8119,39301,60057,1235870,361972,739642,134256,"24,963"
1988,"UT","Utah",1691000,4110,47,399,915,2749,90223,14898,71677,3648,"26,313"
1988,"VA","Virginia",5996000,17940,468,1622,6748,9102,232496,49069,165343,18084,"32,648"
1988,"VT","Vermont",556000,791,11,128,89,563,22786,6098,15591,1097,"28,988"
1988,"WA","Washington",4619000,21543,264,2611,6738,11930,307008,85711,201301,19996,"32,327"
1988,"WI","Wisconsin",4858000,10414,144,965,3258,6047,182545,35423,134046,13076,"29,575"
1988,"WV","West Virginia",1884000,2476,93,353,644,1386,39703,11510,25147,3046,"19,353"
1988,"WY","Wyoming",471000,1479,12,113,71,1283,17206,3103,13432,671,"26,419"
1989,"USA","United States",246819230,1646037,21500,94504,578326,951707,12605412,3168170,7872442,1564800,"28,906"
