"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
2009,"WY","Wyoming",544270,1196,11,172,78,935,14243,2176,11310,757,"52,470",34.85485499
2010,"USA","United States",309330219,1251248,14722,85593,369089,781844,9112625,2168459,6204601,739565,"49,276",38.2820515
2010,"AK","Alaska",714146,4537,31,533,594,3379,20259,3105,15535,1619,"57,848",37.27916262
2010,"AL","Alabama",4785401,18363,275,1355,4864,11869,168828,42484,115564,10780,"40,933",31.46104307
2010,"AR","Arkansas",2921588,14711,134,1321,2369,10887,103820,32463,65796,5561,"38,587",27.92355605
2010,"AZ","Arizona",6413158,26528,408,2191,6953,16976,226802,50932,154137,21733,"46,896",35.10941689
2010,"CA","California",37338198,164133,1809,8331,58116,95877,981939,228857,600558,152524,"54,283",38.78140713
2010,"CO","Colorado",5047692,16339,129,2230,3164,10816,135001,26196,97534,11271,"60,233",45.98093867
2010,"CT","Connecticut",3575498,10083,133,595,3553,5802,78259,15145,56413,6701,"65,998",45.83907425
2010,"DC","District of Columbia",604912,8026,132,187,4325,3382,28802,4233,19514,5055,"56,928",56.50221505
2010,"DE","Delaware",899792,5608,51,326,1839,3392,31078,7550,21593,1935,"55,214",37.43361574
2010,"FL","Florida",18838613,101969,987,5373,26086,69523,669035,169119,458454,41462,"44,066",36.49537229
2010,"GA","Georgia",9712157,39068,555,2107,12372,24034,353449,96947,226161,30341,"44,117",36.11967184
2010,"HI","Hawaii",1363359,3603,25,377,1065,2136,45667,8706,31681,5280,"59,539",41.62241596
2010,"IA","Iowa",3050202,8191,38,883,1012,6258,68740,16746,48194,3800,"49,016",39.68346614
2010,"ID","Idaho",1571102,3464,22,533,213,2696,31436,6513,23594,1329,"47,050",34.73023611
2010,"IL","Illinois",12841980,57132,704,3066,20386,32976,349064,77472,242681,28911,"50,728",41.30366052
2010,"IN","Indiana",6490622,20983,268,1760,6559,12396,199274,48570,137204,13500,"46,139",33.24119148
2010,"KS","Kansas",2859143,10602,97,1146,1538,7821,89109,19315,63774,6020,"46,054",40.49728867
2010,"KY","Kentucky",4347223,10604,188,1438,3748,5230,111170,30443,74488,6239,"41,104",30.03756368
2010,"LA","Louisiana",4545343,25241,500,1230,5297,18214,165667,45437,110260,9970,"39,300",28.22922176
2010,"MA","Massachusetts",6555466,30737,214,1784,6897,21842,154496,37903,105124,11469,"60,934",50.53735354
2010,"MD","Maryland",5785681,31607,426,1228,11054,18899,173309,36704,118578,18027,"64,201",44.67900135
2010,"ME","Maine",1327379,1621,24,389,412,796,32900,7364,24547,989,"47,931",38.75280237
2010,"MI","Michigan",9877143,48693,580,4733,11522,31858,271501,74345,169748,27408,"46,276",36.37950263
2010,"MN","Minnesota",5310658,12515,96,1798,3388,7233,136431,24415,103429,8587,"52,321",45.78697418
2010,"MO","Missouri",5995715,27440,420,1445,6185,19390,200858,44197,140526,16135,"45,817",35.82338945
2010,"MS","Mississippi",2970072,7999,204,931,2777,4087,88596,30453,52784,5359,"38,160",29.85923176
2010,"MT","Montana",990958,2733,25,332,154,2222,25409,3692,20166,1551,"41,280",39.96380301
2010,"NC","North Carolina",9560234,34679,474,2002,9620,22583,329202,102826,208057,18319,"43,830",37.64394202
2010,"ND","North Dakota",674629,1548,10,245,90,1203,12010,2000,9137,873,"51,006",44.94231176
2010,"NE","Nebraska",1830141,5093,54,674,1020,3345,48827,8318,36896,3613,"52,504",41.99080392
2010,"NH","New Hampshire",1316807,2204,13,411,450,1330,29230,5444,22789,997,"66,633",45.84593452
2010,"NJ","New Jersey",8799593,27055,371,981,11818,13885,183042,38732,128754,15556,"62,968",45.29824426
2010,"NM","New Mexico",2065913,12147,140,959,1616,9432,70776,21023,44503,5250,"45,134",33.08416405
2010,"NV","Nevada",2704283,17929,158,965,5298,11508,75004,22286,42533,10185,"51,200",29.45657027
2010,"NY","New York",19395206,76492,868,2797,28630,44197,379710,65839,293232,20639,"49,781",44.14718416
2010,"OH","Ohio",11537968,36306,479,3730,16486,15611,376836,107125,248581,21130,"45,886",35.78929597
2010,"OK","Oklahoma",3760184,18100,195,1469,3345,13091,129464,37848,81303,10313,"43,103",31.72864727
2010,"OR","Oregon",3838332,9648,96,1239,2421,5892,116657,20035,87494,9128,"50,602",38.5544086
2010,"PA","Pennsylvania",12717722,46612,653,3472,16375,26112,276366,55206,204440,16720,"48,314",38.57736596
2010,"RI","Rhode Island",1052528,2709,29,298,782,1600,26959,6124,18432,2403,"51,623",41.21883269
2010,"SC","South Carolina",4637106,27923,265,1551,5017,21090,181098,46261,121544,13293,"41,698",34.809486
2010,"SD","South Dakota",816598,2196,23,385,154,1634,15188,3192,11196,800,"45,352",40.76584184
2010,"TN","Tennessee",6357436,38909,359,2173,8361,28016,232855,64293,153729,14833,"38,591",31.85587215
2010,"TX","Texas",25253466,113231,1249,7622,32843,71517,951246,228597,654626,68023,"47,266",33.65564325
2010,"UT","Utah",2775479,5925,53,983,1269,3620,88316,15095,67242,5979,"56,701",39.74523697
2010,"VA","Virginia",8023953,17184,376,1580,5678,9550,187403,30804,145990,10609,"60,367",43.85009356
