"state","year","ENROLL","TOTAL_REVENUE","TOTAL_EXPENDITURE","state_abbr","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
"New Jersey",2009,1354912,26510413,26145334,"NJ",8707739,27113,319,1041,11639,14114,180752,36945,128303,15504,"64,777",44.5265434
"New Mexico",2009,328737,3703477,3945515,"NM",2009671,12709,198,1069,1932,9510,74639,21955,46182,6502,"43,542",33.88314905
"New York",2009,2696688,55885116,57851481,"NY",19541453,75110,781,2582,28141,43606,377537,62769,292897,21871,"50,216",44.578078
"North Carolina",2009,1452064,15410564,14868070,"NC",9380884,37946,489,2306,11825,23326,343707,107830,215923,19954,"41,906",37.94052028
"North Dakota",2009,94653,1150142,1137260,"ND",646844,1723,12,296,107,1308,12813,2426,9474,913,"50,075",43.67134496
"Ohio",2009,1729072,22779344,22427481,"OH",11542645,38305,527,4119,17670,15989,376446,104009,249777,22660,"45,879",34.72442687
"Oklahoma",2009,644549,6029807,5941799,"OK",3687050,18560,234,1535,3358,13433,132350,38071,83813,10466,"45,878",31.74231206
"Oregon",2009,560726,6158756,6715011,"OR",3825657,9968,88,1202,2499,6179,114780,19739,85064,9977,"49,098",39.75349373
"Pennsylvania",2009,1687145,26755585,27328680,"PA",12604767,48188,664,3626,17504,26394,277182,54772,204588,17822,"48,172",37.82671043
"Rhode Island",2009,141521,2179714,2171376,"RI",1053209,2678,32,296,785,1565,27558,5753,19403,2402,"51,634",42.60395437
"South Carolina",2009,714290,7669733,8427391,"SC",4561242,30799,305,1663,5753,23078,178310,45443,119250,13617,"41,101",34.86215485
"South Dakota",2009,126624,1258876,1273527,"SD",812383,1777,30,501,117,1129,14378,2621,10891,866,"45,826",38.56171876
"Tennessee",2009,971484,8112895,8611178,"TN",6296254,41933,468,2019,9653,29793,237157,63832,158309,15016,"40,517",31.83829824
"Texas",2009,4647205,48087531,53575273,"TX",24782302,121684,1330,8311,38022,74021,995082,240058,678455,76569,"47,475",33.19373497
"Utah",2009,532433,4238943,4419750,"UT",2784572,5998,39,941,1304,3714,91751,15258,69556,6937,"58,491",39.22891227
"Vermont",2009,86320,1683034,1661019,"VT",621760,837,8,132,111,586,15010,3471,11090,449,"52,318",44.16014754
"Virginia",2009,1235064,15251481,15510318,"VA",7882590,18195,370,1572,6342,9911,194020,31956,150374,11690,"60,501",43.36029379
"Washington",2009,1035907,12025012,12240632,"WA",6664195,22412,190,2583,6711,12928,245215,53047,168421,23747,"60,392",42.321208
"West Virginia",2009,281908,3097212,3121728,"WV",1819777,5554,84,470,914,4086,46215,12005,31453,2757,"40,490",26.39663074
"Wisconsin",2009,867035,10991081,10880480,"WI",5654774,14650,146,1118,4904,8482,147692,26813,111947,8932,"51,237",38.2111413
"Wyoming",2009,86971,1675761,1658156,"WY",544270,1196,11,172,78,935,14243,2176,11310,757,"52,470",34.85485499
"Alabama",2010,748889,7281058,7647571,"AL",4785401,18363,275,1355,4864,11869,168828,42484,115564,10780,"40,933",31.46104307
"Alaska",2010,131265,2230338,2371251,"AK",714146,4537,31,533,594,3379,20259,3105,15535,1619,"57,848",37.27916262
"Arizona",2010,963517,8828122,8812967,"AZ",6413158,26528,408,2191,6953,16976,226802,50932,154137,21733,"46,896",35.10941689
"Arkansas",2010,474897,5069272,5520387,"AR",2921588,14711,134,1321,2369,10887,103820,32463,65796,5561,"38,587",27.92355605
"California",2010,6213958,67356719,71227111,"CA",37338198,164133,1809,8331,58116,95877,981939,228857,600558,152524,"54,283",38.78140713
