"state","year","ENROLL","TOTAL_REVENUE","TOTAL_EXPENDITURE","state_abbr","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
"Iowa",2016,508014,6919477,6972412,"IA",3130869,9170,73,941,1150,6669,65888,15306,45580,5002,"59,094",47.57189257
"Kansas",2016,495545,6069563,6134836,"KS",2907731,11665,132,1193,1757,8158,82293,14759,60119,7415,"56,810",50.71355977
"Kentucky",2016,686440,7745928,7786281,"KY",4436113,10452,265,1242,3371,5068,97713,20932,66833,9948,"45,369",44.55327247
"Louisiana",2016,660561,8397136,8248660,"LA",4686157,26477,555,1329,5575,18528,154511,34689,109492,10330,"42,196",45.6941337
"Maine",2016,179879,2845391,2706103,"ME",1330232,1649,20,301,268,948,21908,4001,17131,776,"50,856",43.60289161
"Maryland",2016,879196,14409321,13992191,"MD",6024752,29019,536,1317,10815,15841,139716,24832,100995,13889,"73,760",50.64203373
"Massachusetts",2016,921029,17484704,17037880,"MA",6823721,25975,135,1601,5365,18334,106430,19204,79155,8071,"72,266",56.22789748
"Michigan",2016,1335713,19416061,18001445,"MI",9933445,45782,612,5217,7123,30779,190249,39738,130249,20262,"57,091",43.74317735
"Minnesota",2016,811157,12186135,12848946,"MN",5525050,13365,101,1732,3730,7185,117723,18582,90421,8720,"70,218",53.97402371
"Mississippi",2016,486245,4755399,4631356,"MS",2985415,8411,237,910,2433,4459,82521,23489,54725,4307,"41,099",37.46669073
"Missouri",2016,891554,10893231,10719882,"MO",6091176,31720,538,1884,6576,22049,170661,31716,120649,18296,"55,016",43.12745882
"Montana",2016,145240,1800909,1879789,"MT",1038656,3886,37,427,268,2983,28156,3966,21427,2763,"57,075",44.01405241
"Nebraska",2016,315542,4398811,4640422,"NE",1907603,5661,49,813,946,3558,43197,6459,32009,4729,"59,374",48.17229508
"Nevada",2016,441623,4482886,4374249,"NV",2939254,19924,228,1284,6338,11629,75922,18816,43949,13157,"55,431",34.8215131
"New Hampshire",2016,179682,3150473,3124778,"NH",1335015,2668,19,443,431,1609,20323,2989,16454,880,"76,260",50.6248602
"New Jersey",2016,1364473,30012666,29665476,"NJ",8978416,21861,378,1088,8940,11089,138012,25229,101459,11324,"68,468",51.16675998
"New Mexico",2016,319861,3765069,3729397,"NM",2085432,14585,139,1117,2737,10182,81930,17280,52907,11743,"48,451",44.59095414
"New York",2016,2590945,66912661,68282026,"NY",19836286,74315,629,4584,22310,45095,305224,39850,250990,14384,"61,437",50.25263398
"North Carolina",2016,1462036,13448045,14207389,"NC",10156689,37767,678,2086,9336,24906,277765,72082,190377,15306,"53,764",47.42854134
"North Dakota",2016,108384,1788749,1963630,"ND",755548,1905,16,268,181,1352,17451,3248,12249,1954,"60,184",49.53923004
"Ohio",2016,1595024,23766529,23352516,"OH",11622554,35759,683,4255,12574,16748,300945,67081,214102,19762,"53,985",44.11831201
"Oklahoma",2016,672777,6103728,6184152,"OK",3921207,17855,247,1543,3174,12334,118010,29376,76358,12276,"50,943",41.75267024
"Oregon",2016,574252,7418055,7501954,"OR",4085989,10983,116,1306,2307,6776,121716,16919,91507,13290,"59,135",46.85175541
"Pennsylvania",2016,1572593,31077289,30925177,"PA",12787085,40389,674,3250,12314,22942,222394,35178,174147,13069,"60,979",45.66721929
"Rhode Island",2016,133856,2401541,2358654,"RI",1057566,2529,29,330,541,1514,18910,3650,14157,1103,"61,528",46.75401346
"South Carolina",2016,743320,9161667,9187299,"SC",4959822,25137,358,1786,4071,18217,161534,33149,114455,13930,"54,336",41.95786234
"South Dakota",2016,134045,1455737,1475864,"SD",861542,3636,28,386,274,2808,17207,3002,12705,1500,"57,450",45.70793206
"Tennessee",2016,999265,9585331,9680512,"TN",6649404,42459,495,2056,7829,31332,191199,40607,135353,15239,"51,344",40.74142368
"Texas",2016,5053291,58284155,59314884,"TX",27904862,121064,1478,9905,33298,72842,769892,148796,552106,68990,"58,146",42.15171021
"Utah",2016,580215,4952923,4923657,"UT",3044321,7406,74,1146,1528,4244,90561,12938,68261,9362,"67,481",49.53060692
"Vermont",2016,87974,2112365,2082696,"VT",623354,851,14,120,78,589,9705,1884,7637,184,"60,837",47.71174336
"Virginia",2016,1283493,16259274,16497520,"VA",8414380,18495,482,2032,4826,10357,157292,20159,127285,9848,"66,451",52.18331461
"Washington",2016,1083973,14964364,15253296,"WA",7280934,22101,195,2302,5649,13124,254994,49249,173423,32322,"70,310",53.2752269
"West Virginia",2016,276764,3391579,3366566,"WV",1828637,6633,85,488,720,5144,37282,9127,25657,2498,"44,354",34.66208008
"Wisconsin",2016,857736,11697466,11787535,"WI",5772917,17716,232,1475,4707,10772,111911,19498,82455,9958,"59,817",48.38990336
"Wyoming",2016,94511,2044669,2034229,"WY",584910,1431,20,152,59,1146,11460,1771,8889,800,"57,829",48.22710258
"United States",2008,NA,NA,NA,"USA",304059724,1394461,16465,90750,443563,843683,9774152,2228887,6586206,959059,"50,303",37.83945646
"United States",2009,NA,NA,NA,"USA",307006550,1325896,15399,89241,408742,812514,9337060,2203313,6338095,795652,"49,777",38.06573662
"United States",2010,NA,NA,NA,"USA",309330219,1251248,14722,85593,369089,781844,9112625,2168459,6204601,739565,"49,276",38.2820515
"United States",2011,NA,NA,NA,"USA",311587816,1206031,14661,84175,354772,752423,9052743,2185140,6151095,716508,"50,054",38.7056373
"United States",2012,NA,NA,NA,"USA",313873685,1217057,14856,85141,355051,762009,9001992,2109932,6168874,723186,"51,017",39.38894426
"United States",2013,NA,NA,NA,"USA",316497531,1168298,14319,82109,345093,726777,8651892,1932139,6019465,700288,"51,939",39.94397742
"United States",2014,NA,NA,NA,"USA",318907401,1153022,14164,84864,322905,731089,8209010,1713153,5809054,686803,"53,657",45.3106221
"United States",2015,NA,NA,NA,"USA",320896618,1199310,15883,91261,328109,764057,8024115,1587564,5723488,713063,"56,516",45.81465194
"United States",2016,NA,NA,NA,"USA",323405935,1285606,17413,96970,332797,802982,7928530,1516405,5644835,767290,"59,039",46.86114055
"Puerto Rico",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.53674056
"Puerto Rico",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.23124053
"Puerto Rico",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.33507581
"Puerto Rico",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.78541217
"Puerto Rico",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.34554076
"Puerto Rico",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.08227456
"Puerto Rico",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.68837181
"Puerto Rico",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.82558504
"Puerto Rico",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.11427274
